NonRapidEyeMovementSleep-N1,
NonRapidEyeMovementSleep-N2,
NonRapidEyeMovementSleep-N3,
NonRapidEyeMovementSleep-Stage4,
RapidEyeMovementSleep,
WakeState,
MovementTime,
